Trace1,
Freq,,Amp,,
          2750000000,Hz,              -26.72, dBm,
          2750333333,Hz,              -26.75, dBm,
          2750666666,Hz,              -26.76, dBm,
          2750999999,Hz,              -26.77, dBm,
          2751333332,Hz,              -26.82, dBm,
          2751666665,Hz,              -26.82, dBm,
          2751999998,Hz,              -26.85, dBm,
          2752333331,Hz,              -26.88, dBm,
          2752666664,Hz,              -26.89, dBm,
          2752999997,Hz,              -26.86, dBm,
          2753333330,Hz,              -26.92, dBm,
          2753666663,Hz,              -26.94, dBm,
          2753999996,Hz,              -26.90, dBm,
          2754333329,Hz,              -26.94, dBm,
          2754666662,Hz,              -26.95, dBm,
          2754999995,Hz,              -26.92, dBm,
          2755333328,Hz,              -26.94, dBm,
          2755666661,Hz,              -26.94, dBm,
          2755999994,Hz,              -26.93, dBm,
          2756333327,Hz,              -26.91, dBm,
          2756666660,Hz,              -26.91, dBm,
          2756999993,Hz,              -26.84, dBm,
          2757333326,Hz,              -26.88, dBm,
          2757666659,Hz,              -26.88, dBm,
          2757999992,Hz,              -26.80, dBm,
          2758333325,Hz,              -26.82, dBm,
          2758666658,Hz,              -26.80, dBm,
          2758999991,Hz,              -26.76, dBm,
          2759333324,Hz,              -26.75, dBm,
          2759666657,Hz,              -26.69, dBm,
          2759999990,Hz,              -26.66, dBm,
          2760333323,Hz,              -26.60, dBm,
          2760666656,Hz,              -26.59, dBm,
          2760999989,Hz,              -26.55, dBm,
          2761333322,Hz,              -26.55, dBm,
          2761666655,Hz,              -26.50, dBm,
          2761999988,Hz,              -26.44, dBm,
          2762333321,Hz,              -26.40, dBm,
          2762666654,Hz,              -26.40, dBm,
          2762999987,Hz,              -26.34, dBm,
          2763333320,Hz,              -26.22, dBm,
          2763666653,Hz,              -26.22, dBm,
          2763999986,Hz,              -26.15, dBm,
          2764333319,Hz,              -26.11, dBm,
          2764666652,Hz,              -26.08, dBm,
          2764999985,Hz,              -26.02, dBm,
          2765333318,Hz,              -25.96, dBm,
          2765666651,Hz,              -25.88, dBm,
          2765999984,Hz,              -25.82, dBm,
          2766333317,Hz,              -25.75, dBm,
          2766666650,Hz,              -25.72, dBm,
          2766999983,Hz,              -25.65, dBm,
          2767333316,Hz,              -25.58, dBm,
          2767666649,Hz,              -25.50, dBm,
          2767999982,Hz,              -25.43, dBm,
          2768333315,Hz,              -25.35, dBm,
          2768666648,Hz,              -25.31, dBm,
          2768999981,Hz,              -25.21, dBm,
          2769333314,Hz,              -25.14, dBm,
          2769666647,Hz,              -25.10, dBm,
          2769999980,Hz,              -24.98, dBm,
          2770333313,Hz,              -24.91, dBm,
          2770666646,Hz,              -24.74, dBm,
          2770999979,Hz,              -24.72, dBm,
          2771333312,Hz,              -24.68, dBm,
          2771666645,Hz,              -24.57, dBm,
          2771999978,Hz,              -24.50, dBm,
          2772333311,Hz,              -24.41, dBm,
          2772666644,Hz,              -24.34, dBm,
          2772999977,Hz,              -24.20, dBm,
          2773333310,Hz,              -24.16, dBm,
          2773666643,Hz,              -24.10, dBm,
          2773999976,Hz,              -23.95, dBm,
          2774333309,Hz,              -23.87, dBm,
          2774666642,Hz,              -23.79, dBm,
          2774999975,Hz,              -23.73, dBm,
          2775333308,Hz,              -23.67, dBm,
          2775666641,Hz,              -23.59, dBm,
          2775999974,Hz,              -23.46, dBm,
          2776333307,Hz,              -23.39, dBm,
          2776666640,Hz,              -23.32, dBm,
          2776999973,Hz,              -23.24, dBm,
          2777333306,Hz,              -23.11, dBm,
          2777666639,Hz,              -23.09, dBm,
          2777999972,Hz,              -22.98, dBm,
          2778333305,Hz,              -22.95, dBm,
          2778666638,Hz,              -22.86, dBm,
          2778999971,Hz,              -22.77, dBm,
          2779333304,Hz,              -22.72, dBm,
          2779666637,Hz,              -22.67, dBm,
          2779999970,Hz,              -22.57, dBm,
          2780333303,Hz,              -22.52, dBm,
          2780666636,Hz,              -22.46, dBm,
          2780999969,Hz,              -22.41, dBm,
          2781333302,Hz,              -22.37, dBm,
          2781666635,Hz,              -22.33, dBm,
          2781999968,Hz,              -22.25, dBm,
          2782333301,Hz,              -22.21, dBm,
          2782666634,Hz,              -22.17, dBm,
          2782999967,Hz,              -22.16, dBm,
          2783333300,Hz,              -22.15, dBm,
          2783666633,Hz,              -22.11, dBm,
          2783999966,Hz,              -22.10, dBm,
          2784333299,Hz,              -22.08, dBm,
          2784666632,Hz,              -22.05, dBm,
          2784999965,Hz,              -22.03, dBm,
          2785333298,Hz,              -22.05, dBm,
          2785666631,Hz,              -22.04, dBm,
          2785999964,Hz,              -22.04, dBm,
          2786333297,Hz,              -22.03, dBm,
          2786666630,Hz,              -22.07, dBm,
          2786999963,Hz,              -22.08, dBm,
          2787333296,Hz,              -22.09, dBm,
          2787666629,Hz,              -22.10, dBm,
          2787999962,Hz,              -22.13, dBm,
          2788333295,Hz,              -22.15, dBm,
          2788666628,Hz,              -22.17, dBm,
          2788999961,Hz,              -22.20, dBm,
          2789333294,Hz,              -22.23, dBm,
          2789666627,Hz,              -22.26, dBm,
          2789999960,Hz,              -22.34, dBm,
          2790333293,Hz,              -22.40, dBm,
          2790666626,Hz,              -22.45, dBm,
          2790999959,Hz,              -22.48, dBm,
          2791333292,Hz,              -22.55, dBm,
          2791666625,Hz,              -22.57, dBm,
          2791999958,Hz,              -22.64, dBm,
          2792333291,Hz,              -22.71, dBm,
          2792666624,Hz,              -22.78, dBm,
          2792999957,Hz,              -22.81, dBm,
          2793333290,Hz,              -22.91, dBm,
          2793666623,Hz,              -22.95, dBm,
          2793999956,Hz,              -23.02, dBm,
          2794333289,Hz,              -23.10, dBm,
          2794666622,Hz,              -23.16, dBm,
          2794999955,Hz,              -23.22, dBm,
          2795333288,Hz,              -23.26, dBm,
          2795666621,Hz,              -23.35, dBm,
          2795999954,Hz,              -23.42, dBm,
          2796333287,Hz,              -23.48, dBm,
          2796666620,Hz,              -23.56, dBm,
          2796999953,Hz,              -23.63, dBm,
          2797333286,Hz,              -23.71, dBm,
          2797666619,Hz,              -23.75, dBm,
          2797999952,Hz,              -23.83, dBm,
          2798333285,Hz,              -23.90, dBm,
          2798666618,Hz,              -23.97, dBm,
          2798999951,Hz,              -24.02, dBm,
          2799333284,Hz,              -24.06, dBm,
          2799666617,Hz,              -24.17, dBm,
          2799999950,Hz,              -24.21, dBm,
          2800333283,Hz,              -24.28, dBm,
          2800666616,Hz,              -24.35, dBm,
          2800999949,Hz,              -24.42, dBm,
          2801333282,Hz,              -24.46, dBm,
          2801666615,Hz,              -24.48, dBm,
          2801999948,Hz,              -24.57, dBm,
          2802333281,Hz,              -24.66, dBm,
          2802666614,Hz,              -24.73, dBm,
          2802999947,Hz,              -24.77, dBm,
          2803333280,Hz,              -24.82, dBm,
          2803666613,Hz,              -24.88, dBm,
          2803999946,Hz,              -24.89, dBm,
          2804333279,Hz,              -24.99, dBm,
          2804666612,Hz,              -25.00, dBm,
          2804999945,Hz,              -25.07, dBm,
          2805333278,Hz,              -25.09, dBm,
          2805666611,Hz,              -25.12, dBm,
          2805999944,Hz,              -25.21, dBm,
          2806333277,Hz,              -25.27, dBm,
          2806666610,Hz,              -25.25, dBm,
          2806999943,Hz,              -25.33, dBm,
          2807333276,Hz,              -25.39, dBm,
          2807666609,Hz,              -25.40, dBm,
          2807999942,Hz,              -25.47, dBm,
          2808333275,Hz,              -25.52, dBm,
          2808666608,Hz,              -25.52, dBm,
          2808999941,Hz,              -25.57, dBm,
          2809333274,Hz,              -25.55, dBm,
          2809666607,Hz,              -25.62, dBm,
          2809999940,Hz,              -25.66, dBm,
          2810333273,Hz,              -25.69, dBm,
          2810666606,Hz,              -25.70, dBm,
          2810999939,Hz,              -25.75, dBm,
          2811333272,Hz,              -25.72, dBm,
          2811666605,Hz,              -25.78, dBm,
          2811999938,Hz,              -25.81, dBm,
          2812333271,Hz,              -25.83, dBm,
          2812666604,Hz,              -25.84, dBm,
          2812999937,Hz,              -25.87, dBm,
          2813333270,Hz,              -25.85, dBm,
          2813666603,Hz,              -25.90, dBm,
          2813999936,Hz,              -25.93, dBm,
          2814333269,Hz,              -25.92, dBm,
          2814666602,Hz,              -25.86, dBm,
          2814999935,Hz,              -25.95, dBm,
          2815333268,Hz,              -25.98, dBm,
          2815666601,Hz,              -25.97, dBm,
          2815999934,Hz,              -25.93, dBm,
          2816333267,Hz,              -25.96, dBm,
          2816666600,Hz,              -25.94, dBm,
          2816999933,Hz,              -25.95, dBm,
          2817333266,Hz,              -25.99, dBm,
          2817666599,Hz,              -25.96, dBm,
          2817999932,Hz,              -25.96, dBm,
          2818333265,Hz,              -25.96, dBm,
          2818666598,Hz,              -25.95, dBm,
          2818999931,Hz,              -25.94, dBm,
          2819333264,Hz,              -25.95, dBm,
          2819666597,Hz,              -25.93, dBm,
          2819999930,Hz,              -25.93, dBm,
          2820333263,Hz,              -25.88, dBm,
          2820666596,Hz,              -25.90, dBm,
          2820999929,Hz,              -25.85, dBm,
          2821333262,Hz,              -25.87, dBm,
          2821666595,Hz,              -25.81, dBm,
          2821999928,Hz,              -25.84, dBm,
          2822333261,Hz,              -25.78, dBm,
          2822666594,Hz,              -25.74, dBm,
          2822999927,Hz,              -25.74, dBm,
          2823333260,Hz,              -25.70, dBm,
          2823666593,Hz,              -25.69, dBm,
          2823999926,Hz,              -25.67, dBm,
          2824333259,Hz,              -25.64, dBm,
          2824666592,Hz,              -25.62, dBm,
          2824999925,Hz,              -25.58, dBm,
          2825333258,Hz,              -25.54, dBm,
          2825666591,Hz,              -25.53, dBm,
          2825999924,Hz,              -25.47, dBm,
          2826333257,Hz,              -25.45, dBm,
          2826666590,Hz,              -25.41, dBm,
          2826999923,Hz,              -25.34, dBm,
          2827333256,Hz,              -25.29, dBm,
