Trace1,
Freq,,Amp,,
          2750000000,Hz,              -11.94, dBm,
          2750333333,Hz,              -11.97, dBm,
          2750666666,Hz,              -12.00, dBm,
          2750999999,Hz,              -12.03, dBm,
          2751333332,Hz,              -12.07, dBm,
          2751666665,Hz,              -12.09, dBm,
          2751999998,Hz,              -12.09, dBm,
          2752333331,Hz,              -12.14, dBm,
          2752666664,Hz,              -12.15, dBm,
          2752999997,Hz,              -12.18, dBm,
          2753333330,Hz,              -12.19, dBm,
          2753666663,Hz,              -12.21, dBm,
          2753999996,Hz,              -12.22, dBm,
          2754333329,Hz,              -12.23, dBm,
          2754666662,Hz,              -12.24, dBm,
          2754999995,Hz,              -12.23, dBm,
          2755333328,Hz,              -12.25, dBm,
          2755666661,Hz,              -12.25, dBm,
          2755999994,Hz,              -12.24, dBm,
          2756333327,Hz,              -12.23, dBm,
          2756666660,Hz,              -12.23, dBm,
          2756999993,Hz,              -12.22, dBm,
          2757333326,Hz,              -12.20, dBm,
          2757666659,Hz,              -12.20, dBm,
          2757999992,Hz,              -12.17, dBm,
          2758333325,Hz,              -12.16, dBm,
          2758666658,Hz,              -12.14, dBm,
          2758999991,Hz,              -12.11, dBm,
          2759333324,Hz,              -12.09, dBm,
          2759666657,Hz,              -12.06, dBm,
          2759999990,Hz,              -12.03, dBm,
          2760333323,Hz,              -11.99, dBm,
          2760666656,Hz,              -11.98, dBm,
          2760999989,Hz,              -11.93, dBm,
          2761333322,Hz,              -11.90, dBm,
          2761666655,Hz,              -11.86, dBm,
          2761999988,Hz,              -11.82, dBm,
          2762333321,Hz,              -11.78, dBm,
          2762666654,Hz,              -11.75, dBm,
          2762999987,Hz,              -11.69, dBm,
          2763333320,Hz,              -11.65, dBm,
          2763666653,Hz,              -11.60, dBm,
          2763999986,Hz,              -11.54, dBm,
          2764333319,Hz,              -11.50, dBm,
          2764666652,Hz,              -11.46, dBm,
          2764999985,Hz,              -11.38, dBm,
          2765333318,Hz,              -11.34, dBm,
          2765666651,Hz,              -11.29, dBm,
          2765999984,Hz,              -11.23, dBm,
          2766333317,Hz,              -11.18, dBm,
          2766666650,Hz,              -11.13, dBm,
          2766999983,Hz,              -11.07, dBm,
          2767333316,Hz,              -11.01, dBm,
          2767666649,Hz,              -10.97, dBm,
          2767999982,Hz,              -10.90, dBm,
          2768333315,Hz,              -10.84, dBm,
          2768666648,Hz,              -10.80, dBm,
          2768999981,Hz,              -10.72, dBm,
          2769333314,Hz,              -10.67, dBm,
          2769666647,Hz,              -10.63, dBm,
          2769999980,Hz,              -10.56, dBm,
          2770333313,Hz,              -10.51, dBm,
          2770666646,Hz,              -10.46, dBm,
          2770999979,Hz,              -10.38, dBm,
          2771333312,Hz,              -10.34, dBm,
          2771666645,Hz,              -10.29, dBm,
          2771999978,Hz,              -10.23, dBm,
          2772333311,Hz,              -10.19, dBm,
          2772666644,Hz,              -10.13, dBm,
          2772999977,Hz,              -10.08, dBm,
          2773333310,Hz,              -10.04, dBm,
          2773666643,Hz,               -9.99, dBm,
          2773999976,Hz,               -9.93, dBm,
          2774333309,Hz,               -9.88, dBm,
          2774666642,Hz,               -9.85, dBm,
          2774999975,Hz,               -9.78, dBm,
          2775333308,Hz,               -9.75, dBm,
          2775666641,Hz,               -9.72, dBm,
          2775999974,Hz,               -9.66, dBm,
          2776333307,Hz,               -9.63, dBm,
          2776666640,Hz,               -9.59, dBm,
          2776999973,Hz,               -9.55, dBm,
          2777333306,Hz,               -9.52, dBm,
          2777666639,Hz,               -9.48, dBm,
          2777999972,Hz,               -9.46, dBm,
          2778333305,Hz,               -9.42, dBm,
          2778666638,Hz,               -9.40, dBm,
          2778999971,Hz,               -9.37, dBm,
          2779333304,Hz,               -9.34, dBm,
          2779666637,Hz,               -9.32, dBm,
          2779999970,Hz,               -9.29, dBm,
          2780333303,Hz,               -9.28, dBm,
          2780666636,Hz,               -9.25, dBm,
          2780999969,Hz,               -9.23, dBm,
          2781333302,Hz,               -9.23, dBm,
          2781666635,Hz,               -9.22, dBm,
          2781999968,Hz,               -9.20, dBm,
          2782333301,Hz,               -9.19, dBm,
          2782666634,Hz,               -9.19, dBm,
          2782999967,Hz,               -9.18, dBm,
          2783333300,Hz,               -9.17, dBm,
          2783666633,Hz,               -9.17, dBm,
          2783999966,Hz,               -9.18, dBm,
          2784333299,Hz,               -9.18, dBm,
          2784666632,Hz,               -9.17, dBm,
          2784999965,Hz,               -9.19, dBm,
          2785333298,Hz,               -9.20, dBm,
          2785666631,Hz,               -9.21, dBm,
          2785999964,Hz,               -9.22, dBm,
          2786333297,Hz,               -9.24, dBm,
          2786666630,Hz,               -9.26, dBm,
          2786999963,Hz,               -9.28, dBm,
          2787333296,Hz,               -9.30, dBm,
          2787666629,Hz,               -9.33, dBm,
          2787999962,Hz,               -9.35, dBm,
          2788333295,Hz,               -9.38, dBm,
          2788666628,Hz,               -9.40, dBm,
          2788999961,Hz,               -9.45, dBm,
          2789333294,Hz,               -9.50, dBm,
          2789666627,Hz,               -9.52, dBm,
          2789999960,Hz,               -9.56, dBm,
          2790333293,Hz,               -9.62, dBm,
          2790666626,Hz,               -9.65, dBm,
          2790999959,Hz,               -9.71, dBm,
          2791333292,Hz,               -9.77, dBm,
          2791666625,Hz,               -9.81, dBm,
          2791999958,Hz,               -9.86, dBm,
          2792333291,Hz,               -9.92, dBm,
          2792666624,Hz,               -9.98, dBm,
          2792999957,Hz,              -10.04, dBm,
          2793333290,Hz,              -10.11, dBm,
          2793666623,Hz,              -10.17, dBm,
          2793999956,Hz,              -10.22, dBm,
          2794333289,Hz,              -10.31, dBm,
          2794666622,Hz,              -10.36, dBm,
          2794999955,Hz,              -10.43, dBm,
          2795333288,Hz,              -10.51, dBm,
          2795666621,Hz,              -10.57, dBm,
          2795999954,Hz,              -10.64, dBm,
          2796333287,Hz,              -10.73, dBm,
          2796666620,Hz,              -10.78, dBm,
          2796999953,Hz,              -10.86, dBm,
          2797333286,Hz,              -10.94, dBm,
          2797666619,Hz,              -11.00, dBm,
          2797999952,Hz,              -11.06, dBm,
          2798333285,Hz,              -11.16, dBm,
          2798666618,Hz,              -11.22, dBm,
          2798999951,Hz,              -11.27, dBm,
          2799333284,Hz,              -11.37, dBm,
          2799666617,Hz,              -11.42, dBm,
          2799999950,Hz,              -11.49, dBm,
          2800333283,Hz,              -11.58, dBm,
          2800666616,Hz,              -11.63, dBm,
          2800999949,Hz,              -11.68, dBm,
          2801333282,Hz,              -11.78, dBm,
          2801666615,Hz,              -11.83, dBm,
          2801999948,Hz,              -11.90, dBm,
          2802333281,Hz,              -11.97, dBm,
          2802666614,Hz,              -12.02, dBm,
          2802999947,Hz,              -12.08, dBm,
          2803333280,Hz,              -12.15, dBm,
          2803666613,Hz,              -12.21, dBm,
          2803999946,Hz,              -12.25, dBm,
          2804333279,Hz,              -12.32, dBm,
          2804666612,Hz,              -12.37, dBm,
          2804999945,Hz,              -12.41, dBm,
          2805333278,Hz,              -12.47, dBm,
          2805666611,Hz,              -12.52, dBm,
          2805999944,Hz,              -12.55, dBm,
          2806333277,Hz,              -12.61, dBm,
          2806666610,Hz,              -12.64, dBm,
          2806999943,Hz,              -12.68, dBm,
          2807333276,Hz,              -12.71, dBm,
          2807666609,Hz,              -12.75, dBm,
          2807999942,Hz,              -12.77, dBm,
          2808333275,Hz,              -12.83, dBm,
          2808666608,Hz,              -12.84, dBm,
          2808999941,Hz,              -12.87, dBm,
          2809333274,Hz,              -12.91, dBm,
          2809666607,Hz,              -12.93, dBm,
          2809999940,Hz,              -12.95, dBm,
          2810333273,Hz,              -12.96, dBm,
          2810666606,Hz,              -12.99, dBm,
          2810999939,Hz,              -12.99, dBm,
          2811333272,Hz,              -13.01, dBm,
          2811666605,Hz,              -13.02, dBm,
          2811999938,Hz,              -13.01, dBm,
          2812333271,Hz,              -13.03, dBm,
          2812666604,Hz,              -13.04, dBm,
          2812999937,Hz,              -13.04, dBm,
          2813333270,Hz,              -13.04, dBm,
          2813666603,Hz,              -13.04, dBm,
          2813999936,Hz,              -13.04, dBm,
          2814333269,Hz,              -13.03, dBm,
          2814666602,Hz,              -13.02, dBm,
          2814999935,Hz,              -13.01, dBm,
          2815333268,Hz,              -13.00, dBm,
          2815666601,Hz,              -12.99, dBm,
          2815999934,Hz,              -12.97, dBm,
          2816333267,Hz,              -12.95, dBm,
          2816666600,Hz,              -12.93, dBm,
          2816999933,Hz,              -12.91, dBm,
          2817333266,Hz,              -12.89, dBm,
          2817666599,Hz,              -12.86, dBm,
          2817999932,Hz,              -12.83, dBm,
          2818333265,Hz,              -12.80, dBm,
          2818666598,Hz,              -12.78, dBm,
          2818999931,Hz,              -12.74, dBm,
          2819333264,Hz,              -12.72, dBm,
          2819666597,Hz,              -12.68, dBm,
          2819999930,Hz,              -12.63, dBm,
          2820333263,Hz,              -12.61, dBm,
          2820666596,Hz,              -12.57, dBm,
          2820999929,Hz,              -12.52, dBm,
          2821333262,Hz,              -12.48, dBm,
          2821666595,Hz,              -12.44, dBm,
          2821999928,Hz,              -12.39, dBm,
          2822333261,Hz,              -12.35, dBm,
          2822666594,Hz,              -12.29, dBm,
          2822999927,Hz,              -12.25, dBm,
