Trace1,
Freq,,Amp,,
          2800333283,Hz,               -7.30, dBm,
          2800666616,Hz,               -7.31, dBm,
          2800999949,Hz,               -7.34, dBm,
          2801333282,Hz,               -7.36, dBm,
          2801666615,Hz,               -7.37, dBm,
          2801999948,Hz,               -7.39, dBm,
          2802333281,Hz,               -7.42, dBm,
          2802666614,Hz,               -7.44, dBm,
          2802999947,Hz,               -7.46, dBm,
          2803333280,Hz,               -7.49, dBm,
          2803666613,Hz,               -7.51, dBm,
          2803999946,Hz,               -7.52, dBm,
          2804333279,Hz,               -7.55, dBm,
          2804666612,Hz,               -7.56, dBm,
          2804999945,Hz,               -7.59, dBm,
          2805333278,Hz,               -7.61, dBm,
          2805666611,Hz,               -7.63, dBm,
          2805999944,Hz,               -7.66, dBm,
          2806333277,Hz,               -7.68, dBm,
          2806666610,Hz,               -7.69, dBm,
          2806999943,Hz,               -7.71, dBm,
          2807333276,Hz,               -7.73, dBm,
          2807666609,Hz,               -7.74, dBm,
          2807999942,Hz,               -7.76, dBm,
          2808333275,Hz,               -7.78, dBm,
          2808666608,Hz,               -7.79, dBm,
          2808999941,Hz,               -7.81, dBm,
          2809333274,Hz,               -7.83, dBm,
          2809666607,Hz,               -7.84, dBm,
          2809999940,Hz,               -7.85, dBm,
          2810333273,Hz,               -7.86, dBm,
          2810666606,Hz,               -7.87, dBm,
          2810999939,Hz,               -7.88, dBm,
          2811333272,Hz,               -7.90, dBm,
          2811666605,Hz,               -7.91, dBm,
          2811999938,Hz,               -7.91, dBm,
          2812333271,Hz,               -7.92, dBm,
          2812666604,Hz,               -7.93, dBm,
          2812999937,Hz,               -7.93, dBm,
          2813333270,Hz,               -7.94, dBm,
          2813666603,Hz,               -7.94, dBm,
          2813999936,Hz,               -7.95, dBm,
          2814333269,Hz,               -7.95, dBm,
          2814666602,Hz,               -7.94, dBm,
          2814999935,Hz,               -7.95, dBm,
          2815333268,Hz,               -7.95, dBm,
          2815666601,Hz,               -7.94, dBm,
          2815999934,Hz,               -7.94, dBm,
          2816333267,Hz,               -7.94, dBm,
          2816666600,Hz,               -7.94, dBm,
          2816999933,Hz,               -7.94, dBm,
          2817333266,Hz,               -7.93, dBm,
          2817666599,Hz,               -7.93, dBm,
          2817999932,Hz,               -7.92, dBm,
          2818333265,Hz,               -7.91, dBm,
          2818666598,Hz,               -7.91, dBm,
          2818999931,Hz,               -7.90, dBm,
          2819333264,Hz,               -7.88, dBm,
          2819666597,Hz,               -7.88, dBm,
          2819999930,Hz,               -7.86, dBm,
          2820333263,Hz,               -7.85, dBm,
          2820666596,Hz,               -7.84, dBm,
          2820999929,Hz,               -7.83, dBm,
          2821333262,Hz,               -7.81, dBm,
          2821666595,Hz,               -7.81, dBm,
          2821999928,Hz,               -7.78, dBm,
          2822333261,Hz,               -7.78, dBm,
          2822666594,Hz,               -7.76, dBm,
          2822999927,Hz,               -7.74, dBm,
          2823333260,Hz,               -7.73, dBm,
          2823666593,Hz,               -7.71, dBm,
          2823999926,Hz,               -7.69, dBm,
          2824333259,Hz,               -7.67, dBm,
          2824666592,Hz,               -7.67, dBm,
          2824999925,Hz,               -7.66, dBm,
          2825333258,Hz,               -7.64, dBm,
          2825666591,Hz,               -7.62, dBm,
          2825999924,Hz,               -7.60, dBm,
          2826333257,Hz,               -7.59, dBm,
          2826666590,Hz,               -7.57, dBm,
          2826999923,Hz,               -7.56, dBm,
          2827333256,Hz,               -7.54, dBm,
          2827666589,Hz,               -7.53, dBm,
          2827999922,Hz,               -7.51, dBm,
          2828333255,Hz,               -7.49, dBm,
          2828666588,Hz,               -7.48, dBm,
          2828999921,Hz,               -7.46, dBm,
          2829333254,Hz,               -7.45, dBm,
          2829666587,Hz,               -7.43, dBm,
          2829999920,Hz,               -7.41, dBm,
          2830333253,Hz,               -7.41, dBm,
          2830666586,Hz,               -7.39, dBm,
          2830999919,Hz,               -7.38, dBm,
          2831333252,Hz,               -7.36, dBm,
          2831666585,Hz,               -7.36, dBm,
          2831999918,Hz,               -7.33, dBm,
          2832333251,Hz,               -7.33, dBm,
          2832666584,Hz,               -7.31, dBm,
          2832999917,Hz,               -7.31, dBm,
          2833333250,Hz,               -7.30, dBm,
          2833666583,Hz,               -7.29, dBm,
          2833999916,Hz,               -7.27, dBm,
          2834333249,Hz,               -7.27, dBm,
          2834666582,Hz,               -7.26, dBm,
          2834999915,Hz,               -7.25, dBm,
          2835333248,Hz,               -7.24, dBm,
          2835666581,Hz,               -7.23, dBm,
          2835999914,Hz,               -7.22, dBm,
          2836333247,Hz,               -7.22, dBm,
          2836666580,Hz,               -7.21, dBm,
          2836999913,Hz,               -7.21, dBm,
          2837333246,Hz,               -7.20, dBm,
          2837666579,Hz,               -7.19, dBm,
          2837999912,Hz,               -7.19, dBm,
          2838333245,Hz,               -7.19, dBm,
          2838666578,Hz,               -7.18, dBm,
          2838999911,Hz,               -7.17, dBm,
          2839333244,Hz,               -7.18, dBm,
          2839666577,Hz,               -7.16, dBm,
          2839999910,Hz,               -7.16, dBm,
          2840333243,Hz,               -7.17, dBm,
          2840666576,Hz,               -7.16, dBm,
          2840999909,Hz,               -7.15, dBm,
          2841333242,Hz,               -7.15, dBm,
          2841666575,Hz,               -7.15, dBm,
          2841999908,Hz,               -7.15, dBm,
          2842333241,Hz,               -7.14, dBm,
          2842666574,Hz,               -7.14, dBm,
          2842999907,Hz,               -7.14, dBm,
          2843333240,Hz,               -7.14, dBm,
          2843666573,Hz,               -7.13, dBm,
          2843999906,Hz,               -7.14, dBm,
          2844333239,Hz,               -7.13, dBm,
          2844666572,Hz,               -7.13, dBm,
          2844999905,Hz,               -7.13, dBm,
          2845333238,Hz,               -7.13, dBm,
          2845666571,Hz,               -7.12, dBm,
          2845999904,Hz,               -7.12, dBm,
          2846333237,Hz,               -7.12, dBm,
          2846666570,Hz,               -7.12, dBm,
          2846999903,Hz,               -7.12, dBm,
          2847333236,Hz,               -7.12, dBm,
          2847666569,Hz,               -7.11, dBm,
          2847999902,Hz,               -7.11, dBm,
          2848333235,Hz,               -7.11, dBm,
          2848666568,Hz,               -7.10, dBm,
          2848999901,Hz,               -7.10, dBm,
          2849333234,Hz,               -7.10, dBm,
          2849666567,Hz,               -7.09, dBm,
          2849999900,Hz,               -7.09, dBm,
          2850333233,Hz,               -7.09, dBm,
          2850666566,Hz,               -7.08, dBm,
          2850999899,Hz,               -7.08, dBm,
          2851333232,Hz,               -7.08, dBm,
          2851666565,Hz,               -7.07, dBm,
          2851999898,Hz,               -7.06, dBm,
          2852333231,Hz,               -7.06, dBm,
          2852666564,Hz,               -7.05, dBm,
          2852999897,Hz,               -7.04, dBm,
          2853333230,Hz,               -7.05, dBm,
          2853666563,Hz,               -7.04, dBm,
          2853999896,Hz,               -7.04, dBm,
          2854333229,Hz,               -7.04, dBm,
          2854666562,Hz,               -7.02, dBm,
          2854999895,Hz,               -7.02, dBm,
          2855333228,Hz,               -7.02, dBm,
          2855666561,Hz,               -7.01, dBm,
          2855999894,Hz,               -7.00, dBm,
          2856333227,Hz,               -7.00, dBm,
          2856666560,Hz,               -7.00, dBm,
          2856999893,Hz,               -6.99, dBm,
          2857333226,Hz,               -6.99, dBm,
          2857666559,Hz,               -6.98, dBm,
          2857999892,Hz,               -6.98, dBm,
          2858333225,Hz,               -6.98, dBm,
          2858666558,Hz,               -6.97, dBm,
          2858999891,Hz,               -6.96, dBm,
          2859333224,Hz,               -6.96, dBm,
          2859666557,Hz,               -6.96, dBm,
          2859999890,Hz,               -6.95, dBm,
